question,content,date,answers,views,ansAccepted,score,url
How can I set this up to pull the correct information from the correct user?,So I had this working but now I need to pull the data for a specific user.This is what I had before But now I have all of this stuff. What do I need to add in/change in order to get this to work?,1.437E+12,0,2,FALSE,0,/questions/31443202/how-can-i-set-this-up-to-pull-the-correct-information-from-the-correct-user
Passing locks in python,"I was wondering if there was a better way to deal with locks while importing other modules. Right now I've got this...Because I'm importing things I have to pass the lock into the new areas, is there any way to work around this, like globally declare the lock. It would make my code a whole lot cleaner. ",1.437E+12,0,3,FALSE,0,/questions/31443198/passing-locks-in-python
Research Tree/Graph Depth in Google Docs,"I'm working on a research tree in Google Docs, and I had the idea to include a research tree Depth cell next to each research to make it easier to see which researches require more or fewer parents so there won't be five research projects at one stage and only one in the next stages.The graph's structure (I found out through browsing wikipedia that this is not a tree because some nodes split into routes which later on combine again) looks like this:Not pictured: ""Name group"" column, which contains the research name without numerals. Also not pictured is the period after each research name to make the children code work.With C. being the amount of Children this research has:And P. being the amount of Parents the research has:With these functions, the information I have is:And another useful fact about the situation:I'm not sure if there's an easy way to implement Graph traversal in this situation to come up with the research tree depth I want, and I'd really just like some kind of indication as to how ""advanced"" some research is. I see problems arising with Graph traversal where one parent of a research is more ""advanced"" than the other by a single depth level, making it impossible to give the research a correct depth.Question: Using this information, how would I go about generating a value indicating a research' depth into the tree?",1.437E+12,0,2,FALSE,0,/questions/31443192/research-tree-graph-depth-in-google-docs
a org.w3c.dom.DOMException: WRONG_DOCUMENT_ERR: node is used in a different document than the one that created it,"I am getting the error
org.w3c.dom.DOMException: WRONG_DOCUMENT_ERR: A node is used in a different document than the one that created it.
This is a line inside a servlet and the message.  I don't see how, as I simply am inserting a single item
into an empty tree.  The problem, right now appears to be intermittant.When other people discussed this error message, there was in issue of imporitng nodes.",1.437E+12,0,2,FALSE,0,/questions/31443193/a-org-w3c-dom-domexception-wrong-document-err-node-is-used-in-a-different-docu
?€?Expected Declaration?€? Error on a blank space,"I created a simple class to get some data from another class which I will then show. Pretty much, Parent View Controller data will be shown in the Child View Controller. 
My error is in the Child View Controller where I am getting this ""Expected Declaration"" error even though I don't have any code in that area. I've tried turning Xcode on and off and re-building, but nothing seems to work.Also, I want to point out that the error is shown on blank spaces as well, if I delete preceding code, it'll move up to to the next available character.",1.437E+12,0,6,FALSE,0,/questions/31443190/expected-declaration-error-on-a-blank-space
How to Indent in an Italics Tag,"So I have some text between italics tags like this:I need to indent it. I have tried the text-indent css property, but it does not work on italics tags. For the layout of my programming, I CANNOT surround the italics tags in paragraph tags, nor span tags. Please help!",1.437E+12,0,6,FALSE,0,/questions/31443184/how-to-indent-in-an-italics-tag
Is there and equivalent of WebGL but using DirectX?,Can anyone tell me if there is an equivalent of WebGL but using DirectX API?thx!,1.437E+12,0,2,FALSE,0,/questions/31443180/is-there-and-equivalent-of-webgl-but-using-directx
Turn off cURL response formatting with any get request with a query parameter named callback,"Performing a GET request via cURL in PHP is causing me a few issue because cURL is formatting the response.E.g.Response (expected) {myJson : ""text""}Repsonse (actual) (mydomain.net({myJson : ""text""});It is prefixing the JSON response with anything that is specified in the callback query parameter, this means the response is not valid JSON. Our current work around is to strip off the preceding formatted name and the last bracket, but that is haxy as. We are calling an external web service and have no access to change the query parameter name.Is there a way to turn this off? How do we turn this off?Config for my curl request:",1.437E+12,0,2,FALSE,0,/questions/31443174/turn-off-curl-response-formatting-with-any-get-request-with-a-query-parameter-na
How do I make the value of a dictionary constant when passing in a variable multiple times?,"What I'm trying to do is get a result like:Instead, I get:How do I get each value in the dictionary to be the value of b when it's passed in? (That is the correct use of 'pass in' right?)",1.437E+12,0,4,FALSE,0,/questions/31443172/how-do-i-make-the-value-of-a-dictionary-constant-when-passing-in-a-variable-mult
Webpack FileAppendPlugin for some imports,"I have special imports in my project which loads modules by dynamically generated name, known on build timeSo, I am using FileAppendPlugin to add locale suffix here.But it is not so good to add this suffix and try to load any missed file. Is there a way to mark only files, which really can be loaded with suffix?If I could find a way to apply FileAppendPlugin only for imports, which have some special loader in prefix, like thisit would be ideal solution.Also, I know about i18n-loader, but my app architecture doesn't allow to use this",1.437E+12,0,2,FALSE,0,/questions/31443171/webpack-fileappendplugin-for-some-imports
